graph_id,atom_num
47,17
48,6
48,8
48,7
48,7
48,8
49,6
49,6
49,6
49,6
49,6
49,6
49,6
49,6
49,6
49,6
49,6
49,6
49,6
49,8
49,8
50,6
50,6
50,7
50,15
50,8
50,8
50,6
50,7
50,6
50,6
50,17
50,6
50,6
50,17
51,6
51,6
51,6
51,6
51,6
51,6
51,6
51,7
51,6
51,8
51,6
51,6
51,6
51,6
51,6
51,6
51,6
51,7
51,6
51,6
51,7
51,6
51,6
51,6
51,7
51,6
51,7
51,6
51,6
51,6
51,7
51,6
51,6
51,7
51,6
51,6
51,6
52,6
52,6
52,6
52,6
52,7
52,6
52,7
52,6
52,6
52,6
52,6
52,6
52,6
52,6
52,6
52,7
52,6
52,7
53,6
53,6
53,6
53,6
53,6
53,6
53,6
53,6
53,6
53,7
53,7
53,6
53,8
53,6
53,6
53,6
53,6
53,6
53,6
53,17
53,16
53,8
53,8
53,7
54,6
54,6
54,6
54,7
54,6
54,6
54,6
54,6
54,6
54,6
54,6
54,8
54,6
54,8
54,6
54,6
54,8
54,6
54,6
54,6
54,6
54,6
54,6
54,6
54,35
55,6
55,6
55,6
55,6
55,6
55,7
55,6
55,6
55,6
55,6
55,6
55,8
55,6
55,8
55,6
55,8
55,6
55,6
55,6
55,8
55,6
55,7
55,6
55,6
55,6
55,6
55,6
55,6
55,8
55,6
55,8
55,7
55,6
55,6
55,6
55,6
55,6
55,7
55,6
55,6
55,6
55,6
55,6
56,6
56,6
56,6
56,6
56,6
56,6
56,17
56,17
56,6
56,6
56,7
56,6
56,7
56,7
